,Co_Code,Symbol,IdxStart_Date,IdxEnd_Date,StockChange,IndexChange,StkSDate,FirstClose,StkEDate,LastClose,Index,IndexDate,TypeTorB,IndexDaysDifference,IndexClose
121,135,DEEPAKFERT,2004-05-17,2006-05-11,225.08,192.07,2004-05-17,31.66,2006-05-11,102.92,NIFTY,2006-05-11,Top,724.0,3701.05
122,135,DEEPAKFERT,2006-05-11,2006-06-14,-38.29,-31.23,2006-05-11,102.92,2006-06-14,63.51,NIFTY,2006-06-14,Bottom,34.0,2632.8
123,135,DEEPAKFERT,2006-06-14,2008-01-08,135.95,144.91,2006-06-14,63.51,2008-01-08,149.85,NIFTY,2008-01-08,Top,573.0,6287.85
124,135,DEEPAKFERT,2008-01-08,2008-10-27,-68.98,-64.56,2008-01-08,149.85,2008-10-27,46.49,NIFTY,2008-10-27,Bottom,293.0,2524.2
125,135,DEEPAKFERT,2008-10-27,2015-03-04,186.15,304.8,2008-10-27,46.49,2015-03-04,133.03,NIFTY,2015-03-04,Top,2319.0,8922.65
126,135,DEEPAKFERT,2015-03-04,2016-02-29,4.37,-25.15,2015-03-04,133.03,2016-02-29,138.85,NIFTY,2016-02-29,Bottom,362.0,6987.05
127,135,DEEPAKFERT,2016-02-29,2020-01-20,-22.1,82.11,2016-02-29,138.85,2020-01-20,108.16,NIFTY,2020-01-20,Top,1421.0,12224.55
128,135,DEEPAKFERT,2020-01-20,2020-03-24,-38.95,-39.58,2020-01-20,108.16,2020-03-24,66.03,NIFTY,2020-03-24,Bottom,64.0,7801.05
129,135,DEEPAKFERT,2020-03-24,2024-09-27,1513.96,249.85,2020-03-24,66.03,2024-09-27,1065.7,NIFTY,2024-09-27,Top,1648.0,26178.95
130,135,DEEPAKFERT,2024-09-27,2025-03-04,-8.44,-16.41,2024-09-27,1065.7,2025-03-04,975.8,NIFTY,2025-03-04,Bottom,158.0,22082.65
131,135,DEEPAKFERT,2025-03-04,2025-03-28,14.39,7.67,2025-03-04,975.8,2025-03-28,1116.2,NIFTY,2025-03-28,Top,24.0,23519.35
132,425,OSWALAGRO,2016-02-29,2020-01-20,-56.21,82.11,2018-02-01,14.5,2020-01-20,6.35,NIFTY,2020-01-20,Top,1421.0,12224.55
133,425,OSWALAGRO,2020-01-20,2020-03-24,-40.94,-39.58,2020-01-20,6.35,2020-03-24,3.75,NIFTY,2020-03-24,Bottom,64.0,7801.05
134,425,OSWALAGRO,2020-03-24,2024-09-27,2353.33,249.85,2020-03-24,3.75,2024-09-27,92.0,NIFTY,2024-09-27,Top,1648.0,26178.95
135,425,OSWALAGRO,2024-09-27,2025-03-04,-35.57,-16.41,2024-09-27,92.0,2025-03-04,59.28,NIFTY,2025-03-04,Bottom,158.0,22082.65
136,425,OSWALAGRO,2025-03-04,2025-03-28,19.87,7.67,2025-03-04,59.28,2025-03-28,71.06,NIFTY,2025-03-28,Top,24.0,23519.35
137,281,IFBIND,2006-06-14,2008-01-08,356.49,144.91,2006-07-03,18.5,2008-01-08,84.45,NIFTY,2008-01-08,Top,573.0,6287.85
138,281,IFBIND,2008-01-08,2008-10-27,-77.15,-64.56,2008-01-08,84.45,2008-10-27,19.3,NIFTY,2008-10-27,Bottom,293.0,2524.2
139,281,IFBIND,2008-10-27,2015-03-04,2534.46,304.8,2008-10-27,19.3,2015-03-04,508.45,NIFTY,2015-03-04,Top,2319.0,8922.65
140,281,IFBIND,2015-03-04,2016-02-29,-43.17,-25.15,2015-03-04,508.45,2016-02-29,288.95,NIFTY,2016-02-29,Bottom,362.0,6987.05
141,281,IFBIND,2016-02-29,2020-01-20,135.68,82.11,2016-02-29,288.95,2020-01-20,681.0,NIFTY,2020-01-20,Top,1421.0,12224.55
142,281,IFBIND,2020-01-20,2020-03-24,-61.78,-39.58,2020-01-20,681.0,2020-03-24,260.25,NIFTY,2020-03-24,Bottom,64.0,7801.05
143,281,IFBIND,2020-03-24,2024-09-27,593.76,249.85,2020-03-24,260.25,2024-09-27,1805.5,NIFTY,2024-09-27,Top,1648.0,26178.95
144,281,IFBIND,2024-09-27,2025-03-04,-39.29,-16.41,2024-09-27,1805.5,2025-03-04,1096.05,NIFTY,2025-03-04,Bottom,158.0,22082.65
145,281,IFBIND,2025-03-04,2025-03-28,21.31,7.67,2025-03-04,1096.05,2025-03-28,1329.65,NIFTY,2025-03-28,Top,24.0,23519.35
146,484,ROLLT,2016-02-29,2020-01-20,-88.33,82.11,2016-11-22,15.0,2020-01-20,1.75,NIFTY,2020-01-20,Top,1421.0,12224.55
147,484,ROLLT,2020-01-20,2020-03-24,-28.57,-39.58,2020-01-20,1.75,2020-03-24,1.25,NIFTY,2020-03-24,Bottom,64.0,7801.05
148,484,ROLLT,2020-03-24,2024-09-27,82.4,249.85,2020-03-24,1.25,2024-09-27,2.28,NIFTY,2024-09-27,Top,1648.0,26178.95
149,484,ROLLT,2024-09-27,2025-03-04,-35.09,-16.41,2024-09-27,2.28,2025-03-04,1.48,NIFTY,2025-03-04,Bottom,158.0,22082.65
150,484,ROLLT,2025-03-04,2025-03-28,-10.14,7.67,2025-03-04,1.48,2025-03-28,1.33,NIFTY,2025-03-28,Top,24.0,23519.35
151,541,SUPREMEIND,2006-06-14,2008-01-08,120.89,144.91,2006-07-03,31.6,2008-01-08,69.8,NIFTY,2008-01-08,Top,573.0,6287.85
152,541,SUPREMEIND,2008-01-08,2008-10-27,-64.83,-64.56,2008-01-08,69.8,2008-10-27,24.55,NIFTY,2008-10-27,Bottom,293.0,2524.2
153,541,SUPREMEIND,2008-10-27,2015-03-04,2650.71,304.8,2008-10-27,24.55,2015-03-04,675.3,NIFTY,2015-03-04,Top,2319.0,8922.65
154,541,SUPREMEIND,2015-03-04,2016-02-29,-0.76,-25.15,2015-03-04,675.3,2016-02-29,670.15,NIFTY,2016-02-29,Bottom,362.0,6987.05
155,541,SUPREMEIND,2016-02-29,2020-01-20,97.11,82.11,2016-02-29,670.15,2020-01-20,1320.9,NIFTY,2020-01-20,Top,1421.0,12224.55
156,541,SUPREMEIND,2020-01-20,2020-03-24,-34.82,-39.58,2020-01-20,1320.9,2020-03-24,861.0,NIFTY,2020-03-24,Bottom,64.0,7801.05
